Metric,2022,2023,2024
Cash,1200000,1500000,1900000
Accounts Receivable,1800000,2100000,2400000
Inventory,950000,1050000,1120000
Total Current Assets,4300000,5150000,6000000
PPE,3200000,3400000,3600000
Goodwill,1800000,1800000,1800000
Intangible Assets,700000,650000,600000
Total Assets,10000000,11000000,12000000
Accounts Payable,1100000,1250000,1380000
Current Portion of Long Term Debt,300000,350000,400000
Total Current Liabilities,2200000,2500000,2800000
Long Term Debt,4300000,4100000,3800000
Total Liabilities,6500000,6600000,6600000
Equity,3500000,4400000,5400000
